Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-08 15:00:52,2017-11-08 15:00:59,6.952s,PASSED
,,,,,,
Test Cases/LoginAcme,Chrome 61.0.3163.100,,2017-11-08 15:00:52,2017-11-08 15:00:57,4.776s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 15:00:53,2017-11-08 15:00:55,2.719s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-08 15:00:55,2017-11-08 15:00:56,0.655s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:00:56,2017-11-08 15:00:56,0.273s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:00:56,2017-11-08 15:00:57,0.253s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:00:57,2017-11-08 15:00:57,0.162s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:00:57,2017-11-08 15:00:57,0.225s,PASSED
,,,,,,
Test Cases/Logout,Chrome 61.0.3163.100,,2017-11-08 15:00:57,2017-11-08 15:00:59,1.814s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:00:57,2017-11-08 15:00:58,0.166s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:00:58,2017-11-08 15:00:58,0.219s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-08 15:00:58,2017-11-08 15:00:58,0.078s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 15:00:58,2017-11-08 15:00:59,0.997s,PASSED
