Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogoutPhp,Chrome 61.0.3163.100,login logout php,2017-11-08 13:34:32,2017-11-08 13:35:24,51.425s,FAILED
,,,,,,
Test Cases/Phpadminlogin,Chrome 61.0.3163.100,php demo travel admin login,2017-11-08 13:34:33,2017-11-08 13:34:42,9.003s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 13:34:33,2017-11-08 13:34:40,6.775s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-08 13:34:40,2017-11-08 13:34:41,1.166s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 13:34:41,2017-11-08 13:34:41,0.319s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 13:34:41,2017-11-08 13:34:42,0.133s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 13:34:42,2017-11-08 13:34:42,0.107s,PASSED
,,,,,,
Test Cases/PhpLogout,Chrome 61.0.3163.100,,2017-11-08 13:34:42,2017-11-08 13:35:23,41.043s,FAILED
waitForPageLoad,Chrome 61.0.3163.100,,2017-11-08 13:34:42,2017-11-08 13:34:42,0.079s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 13:34:42,2017-11-08 13:34:45,3.104s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 13:34:45,2017-11-08 13:35:23,37.585s,FAILED
