Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-08 15:02:49,2017-11-08 15:02:56,7.312s,PASSED
,,,,,,
Test Cases/LoginAcme,Chrome 61.0.3163.100,,2017-11-08 15:02:49,2017-11-08 15:02:55,5.453s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 15:02:50,2017-11-08 15:02:53,3.815s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-08 15:02:53,2017-11-08 15:02:54,0.535s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:02:54,2017-11-08 15:02:54,0.252s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:02:54,2017-11-08 15:02:54,0.133s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:02:54,2017-11-08 15:02:55,0.099s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:02:55,2017-11-08 15:02:55,0.177s,PASSED
,,,,,,
Test Cases/Logout,Chrome 61.0.3163.100,,2017-11-08 15:02:55,2017-11-08 15:02:56,1.522s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:02:55,2017-11-08 15:02:55,0.154s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:02:55,2017-11-08 15:02:55,0.184s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-08 15:02:55,2017-11-08 15:02:55,0.068s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 15:02:55,2017-11-08 15:02:56,0.915s,PASSED
