Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Firefox 56.0,,2017-11-08 15:14:43,2017-11-08 15:15:01,18.955s,PASSED
,,,,,,
Test Cases/LoginAcme,Firefox 56.0,,2017-11-08 15:14:43,2017-11-08 15:14:57,14.148s,PASSED
openBrowser,Firefox 56.0,,2017-11-08 15:14:45,2017-11-08 15:14:56,10.451s,PASSED
navigateToUrl,Firefox 56.0,,2017-11-08 15:14:56,2017-11-08 15:14:56,0.622s,PASSED
click,Firefox 56.0,,2017-11-08 15:14:56,2017-11-08 15:14:57,0.434s,PASSED
setText,Firefox 56.0,,2017-11-08 15:14:57,2017-11-08 15:14:57,0.134s,PASSED
setText,Firefox 56.0,,2017-11-08 15:14:57,2017-11-08 15:14:57,0.214s,PASSED
click,Firefox 56.0,,2017-11-08 15:14:57,2017-11-08 15:14:57,0.273s,PASSED
,,,,,,
Test Cases/Logout,Firefox 56.0,,2017-11-08 15:14:57,2017-11-08 15:15:01,3.983s,PASSED
click,Firefox 56.0,,2017-11-08 15:14:58,2017-11-08 15:14:58,0.279s,PASSED
click,Firefox 56.0,,2017-11-08 15:14:58,2017-11-08 15:14:59,0.281s,PASSED
verifyTextPresent,Firefox 56.0,,2017-11-08 15:14:59,2017-11-08 15:14:59,0.113s,PASSED
closeBrowser,Firefox 56.0,,2017-11-08 15:14:59,2017-11-08 15:15:01,2.505s,PASSED
