Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-08 14:33:08,2017-11-08 14:33:15,6.695s,FAILED
,,,,,,
Test Cases/LoginAcme,Chrome 61.0.3163.100,,2017-11-08 14:33:08,2017-11-08 14:33:14,6.198s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 14:33:09,2017-11-08 14:33:11,2.817s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-08 14:33:11,2017-11-08 14:33:13,1.170s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:33:13,2017-11-08 14:33:13,0.192s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 14:33:13,2017-11-08 14:33:13,0.137s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 14:33:13,2017-11-08 14:33:13,0.110s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:33:13,2017-11-08 14:33:13,0.180s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 14:33:13,2017-11-08 14:33:14,1.144s,PASSED
,,,,,,
Test Cases/Logout,Chrome 61.0.3163.100,,2017-11-08 14:33:14,2017-11-08 14:33:15,0.159s,FAILED
click,Chrome 61.0.3163.100,,2017-11-08 14:33:15,2017-11-08 14:33:15,0.016s,FAILED
