Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginEditForm,Chrome 61.0.3163.100,Login and edit profile,2017-11-16 11:27:29,2017-11-16 11:28:06,36.969s,FAILED
,,,,,,
Test Cases/LoginEditLogout/EditProfile,Chrome 61.0.3163.100,edit user profile,2017-11-16 11:27:30,2017-11-16 11:28:05,35.721s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:27:30,2017-11-16 11:27:33,2.639s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:27:33,2017-11-16 11:27:33,0.642s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:27:33,2017-11-16 11:27:34,0.219s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:27:34,2017-11-16 11:27:34,0.181s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:27:34,2017-11-16 11:27:34,0.112s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:27:34,2017-11-16 11:27:34,0.183s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:27:34,2017-11-16 11:27:34,0.185s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:27:34,2017-11-16 11:27:34,0.093s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:27:34,2017-11-16 11:27:35,0.161s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:27:35,2017-11-16 11:28:05,30.871s,FAILED
