Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogoutPhp,Chrome 61.0.3163.100,login logout php,2017-11-08 14:32:50,2017-11-08 14:33:07,16.250s,PASSED
,,,,,,
Test Cases/Phpadminlogin,Chrome 61.0.3163.100,php demo travel admin login,2017-11-08 14:32:51,2017-11-08 14:33:00,9.356s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 14:32:51,2017-11-08 14:32:58,7.148s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-08 14:32:58,2017-11-08 14:32:59,1.158s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 14:32:59,2017-11-08 14:33:00,0.357s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 14:33:00,2017-11-08 14:33:00,0.136s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:33:00,2017-11-08 14:33:00,0.104s,PASSED
,,,,,,
Test Cases/PhpLogout,Chrome 61.0.3163.100,,2017-11-08 14:33:00,2017-11-08 14:33:07,6.541s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-11-08 14:33:00,2017-11-08 14:33:00,0.053s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:33:00,2017-11-08 14:33:04,3.751s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:33:04,2017-11-08 14:33:05,1.272s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 14:33:05,2017-11-08 14:33:07,1.120s,PASSED
