Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-09 10:08:06,2017-11-09 10:08:13,6.916s,PASSED
,,,,,,
Test Cases/LoginAcme,Chrome 61.0.3163.100,,2017-11-09 10:08:06,2017-11-09 10:08:11,4.873s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-09 10:08:07,2017-11-09 10:08:09,2.767s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-09 10:08:09,2017-11-09 10:08:10,0.681s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:08:10,2017-11-09 10:08:10,0.334s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-09 10:08:10,2017-11-09 10:08:11,0.222s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-09 10:08:11,2017-11-09 10:08:11,0.150s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:08:11,2017-11-09 10:08:11,0.218s,PASSED
,,,,,,
Test Cases/Logout,Chrome 61.0.3163.100,,2017-11-09 10:08:11,2017-11-09 10:08:13,1.628s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:08:11,2017-11-09 10:08:11,0.196s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:08:11,2017-11-09 10:08:12,0.221s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-09 10:08:12,2017-11-09 10:08:12,0.091s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-09 10:08:12,2017-11-09 10:08:13,0.949s,PASSED
