Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginEditForm,Firefox 56.0,Login and edit profile,2017-11-10 11:40:45,2017-11-10 11:42:01,1m - 16.221s,FAILED
,,,,,,
Test Cases/EditProfile,Firefox 56.0,edit user profile,2017-11-10 11:40:45,2017-11-10 11:41:23,37.351s,FAILED
openBrowser,Firefox 56.0,,2017-11-10 11:40:46,2017-11-10 11:40:49,3.438s,PASSED
navigateToUrl,Firefox 56.0,,2017-11-10 11:40:49,2017-11-10 11:40:50,0.638s,PASSED
click,Firefox 56.0,,2017-11-10 11:40:50,2017-11-10 11:40:50,0.385s,PASSED
setText,Firefox 56.0,,2017-11-10 11:40:50,2017-11-10 11:40:50,0.140s,PASSED
setText,Firefox 56.0,,2017-11-10 11:40:50,2017-11-10 11:40:50,0.102s,PASSED
click,Firefox 56.0,,2017-11-10 11:40:50,2017-11-10 11:40:51,0.298s,PASSED
click,Firefox 56.0,,2017-11-10 11:40:51,2017-11-10 11:40:51,0.267s,PASSED
click,Firefox 56.0,,2017-11-10 11:40:51,2017-11-10 11:40:51,0.171s,PASSED
setText,Firefox 56.0,,2017-11-10 11:40:51,2017-11-10 11:40:51,0.178s,PASSED
setText,Firefox 56.0,,2017-11-10 11:40:51,2017-11-10 11:40:51,0.206s,PASSED
setText,Firefox 56.0,,2017-11-10 11:40:51,2017-11-10 11:41:23,31.087s,FAILED
,,,,,,
Test Cases/Order,Firefox 56.0,,2017-11-10 11:41:23,2017-11-10 11:42:01,38.228s,FAILED
openBrowser,Firefox 56.0,,2017-11-10 11:41:23,2017-11-10 11:41:25,2.643s,PASSED
navigateToUrl,Firefox 56.0,,2017-11-10 11:41:25,2017-11-10 11:41:28,2.579s,PASSED
click,Firefox 56.0,,2017-11-10 11:41:28,2017-11-10 11:41:28,0.368s,PASSED
click,Firefox 56.0,,2017-11-10 11:41:28,2017-11-10 11:42:01,32.481s,FAILED
