Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ConfirmandCancelpurchase,Chrome 61.0.3163.100,,2017-11-16 11:19:28,2017-11-16 11:19:48,20.203s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/PurchaseBook",Chrome 61.0.3163.100,,2017-11-16 11:19:29,2017-11-16 11:19:45,15.768s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:19:32,2017-11-16 11:19:39,6.612s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:19:39,2017-11-16 11:19:40,1.062s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:40,2017-11-16 11:19:40,0.583s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:40,2017-11-16 11:19:41,0.558s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:41,2017-11-16 11:19:42,0.830s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:42,2017-11-16 11:19:42,0.784s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:42,2017-11-16 11:19:43,0.367s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 11:19:43,2017-11-16 11:19:43,0.120s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:19:43,2017-11-16 11:19:43,0.487s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:19:43,2017-11-16 11:19:44,0.452s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:44,2017-11-16 11:19:44,0.340s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:44,2017-11-16 11:19:44,0.252s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 11:19:44,2017-11-16 11:19:45,0.035s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 11:19:45,2017-11-16 11:19:45,0.285s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:45,2017-11-16 11:19:45,0.430s,PASSED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/CancelPurchaseforTestSuite",Chrome 61.0.3163.100,"continuing action after purchising one book, cancel confirmation of purchase another book",2017-11-16 11:19:45,2017-11-16 11:19:47,1.711s,FAILED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:46,2017-11-16 11:19:46,0.235s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:46,2017-11-16 11:19:46,0.234s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:46,2017-11-16 11:19:46,0.250s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:46,2017-11-16 11:19:47,0.205s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:47,2017-11-16 11:19:47,0.109s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 11:19:47,2017-11-16 11:19:47,0.011s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:47,2017-11-16 11:19:47,0.167s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,"Page is misssing, error message is displayed.That is the reason why this test fail.",2017-11-16 11:19:47,2017-11-16 11:19:47,0.025s,FAILED
