Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-09 10:00:19,2017-11-09 10:00:27,8.027s,PASSED
,,,,,,
Test Cases/LoginAcme,Chrome 61.0.3163.100,,2017-11-09 10:00:19,2017-11-09 10:00:25,5.528s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-09 10:00:20,2017-11-09 10:00:23,3.046s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-09 10:00:23,2017-11-09 10:00:24,0.761s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:00:24,2017-11-09 10:00:24,0.356s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-09 10:00:24,2017-11-09 10:00:24,0.236s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-09 10:00:24,2017-11-09 10:00:25,0.206s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:00:25,2017-11-09 10:00:25,0.263s,PASSED
,,,,,,
Test Cases/Logout,Chrome 61.0.3163.100,,2017-11-09 10:00:25,2017-11-09 10:00:27,1.991s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:00:25,2017-11-09 10:00:25,0.252s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:00:25,2017-11-09 10:00:26,0.281s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-09 10:00:26,2017-11-09 10:00:26,0.098s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-09 10:00:26,2017-11-09 10:00:27,1.002s,PASSED
