Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteAddtoBasket,Chrome 61.0.3163.100,,2017-11-16 13:18:46,2017-11-16 13:19:55,1m - 9.271s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/CancelPurchase",Chrome 61.0.3163.100,,2017-11-16 13:18:46,2017-11-16 13:18:59,12.897s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:18:47,2017-11-16 13:18:49,2.736s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-16 13:18:49,2017-11-16 13:18:50,1.164s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:18:50,2017-11-16 13:18:51,0.774s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-16 13:18:51,2017-11-16 13:18:56,5.026s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:18:56,2017-11-16 13:18:56,0.235s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:18:56,2017-11-16 13:18:57,0.250s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:18:57,2017-11-16 13:18:57,0.202s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:18:57,2017-11-16 13:18:57,0.169s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:18:57,2017-11-16 13:18:57,0.103s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 13:18:57,2017-11-16 13:18:57,0.022s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 13:18:57,2017-11-16 13:18:57,0.263s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 13:18:57,2017-11-16 13:18:58,0.136s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:18:58,2017-11-16 13:18:58,0.194s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:18:58,2017-11-16 13:18:58,0.087s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 13:18:58,2017-11-16 13:18:58,0.013s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-11-16 13:18:58,2017-11-16 13:18:59,0.612s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 13:18:59,2017-11-16 13:18:59,0.479s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/CancelPurchaseforTestSuite",Chrome 61.0.3163.100,"continuing action after purchising one book, cancel confirmation of purchase another book",2017-11-16 13:18:59,2017-11-16 13:19:30,30.981s,FAILED
click,Chrome 61.0.3163.100,,2017-11-16 13:18:59,2017-11-16 13:19:30,30.825s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/NumberOfOneItemAddedtoTheBasket",Chrome 61.0.3163.100,,2017-11-16 13:19:30,2017-11-16 13:19:38,7.662s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:19:30,2017-11-16 13:19:33,2.877s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-16 13:19:33,2017-11-16 13:19:34,1.117s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:19:34,2017-11-16 13:19:35,0.775s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:35,2017-11-16 13:19:35,0.247s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:35,2017-11-16 13:19:36,0.245s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:36,2017-11-16 13:19:36,0.261s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:36,2017-11-16 13:19:36,0.215s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:36,2017-11-16 13:19:36,0.203s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:36,2017-11-16 13:19:36,0.218s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:36,2017-11-16 13:19:37,0.196s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,Verify number of item added to the basket,2017-11-16 13:19:37,2017-11-16 13:19:37,0.100s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-16 13:19:37,2017-11-16 13:19:38,1.015s,PASSED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/PurchaseBook",Chrome 61.0.3163.100,,2017-11-16 13:19:38,2017-11-16 13:19:43,4.866s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:19:38,2017-11-16 13:19:40,1.931s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:19:40,2017-11-16 13:19:41,0.663s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:41,2017-11-16 13:19:41,0.246s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:41,2017-11-16 13:19:41,0.238s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:41,2017-11-16 13:19:41,0.226s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:41,2017-11-16 13:19:41,0.188s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:41,2017-11-16 13:19:42,0.115s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 13:19:42,2017-11-16 13:19:42,0.014s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 13:19:42,2017-11-16 13:19:42,0.268s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 13:19:42,2017-11-16 13:19:42,0.152s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:42,2017-11-16 13:19:42,0.213s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:42,2017-11-16 13:19:42,0.110s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 13:19:42,2017-11-16 13:19:42,0.010s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 13:19:42,2017-11-16 13:19:42,0.160s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:42,2017-11-16 13:19:43,0.188s,PASSED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/RemoveItemFromBasket",Chrome 61.0.3163.100,Cancel purchase - one item,2017-11-16 13:19:43,2017-11-16 13:19:49,6.247s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:19:43,2017-11-16 13:19:46,2.848s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:19:46,2017-11-16 13:19:46,0.713s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:46,2017-11-16 13:19:47,0.222s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:47,2017-11-16 13:19:47,0.456s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:47,2017-11-16 13:19:47,0.343s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:47,2017-11-16 13:19:48,0.219s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:48,2017-11-16 13:19:48,0.141s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 13:19:48,2017-11-16 13:19:48,0.009s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:48,2017-11-16 13:19:48,0.216s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 13:19:48,2017-11-16 13:19:48,0.050s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-16 13:19:48,2017-11-16 13:19:49,0.853s,PASSED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/VerifyNumberOfDifferentItemsAddedToTheBasket",Chrome 61.0.3163.100,,2017-11-16 13:19:49,2017-11-16 13:19:54,5.167s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:19:49,2017-11-16 13:19:51,2.214s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:19:51,2017-11-16 13:19:52,0.656s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:52,2017-11-16 13:19:52,0.229s,PASSED
com.acme.login.loginForm.Login,Chrome 61.0.3163.100,,2017-11-16 13:19:52,2017-11-16 13:19:53,0.289s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:53,2017-11-16 13:19:53,0.190s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:53,2017-11-16 13:19:53,0.236s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:53,2017-11-16 13:19:53,0.189s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:53,2017-11-16 13:19:53,0.228s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:53,2017-11-16 13:19:54,0.204s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:19:54,2017-11-16 13:19:54,0.193s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,Verify total number of two different items in the basket,2017-11-16 13:19:54,2017-11-16 13:19:54,0.374s,FAILED
