Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogoutPhp,Chrome 61.0.3163.100,login logout php,2017-11-08 14:29:31,2017-11-08 14:29:47,16.034s,PASSED
,,,,,,
Test Cases/Phpadminlogin,Chrome 61.0.3163.100,php demo travel admin login,2017-11-08 14:29:31,2017-11-08 14:29:40,8.112s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 14:29:32,2017-11-08 14:29:38,6.036s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-08 14:29:38,2017-11-08 14:29:39,1.141s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 14:29:39,2017-11-08 14:29:39,0.259s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 14:29:39,2017-11-08 14:29:39,0.112s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:29:39,2017-11-08 14:29:40,0.090s,PASSED
,,,,,,
Test Cases/PhpLogout,Chrome 61.0.3163.100,,2017-11-08 14:29:40,2017-11-08 14:29:47,7.583s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-11-08 14:29:40,2017-11-08 14:29:40,0.054s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:29:40,2017-11-08 14:29:44,4.190s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:29:44,2017-11-08 14:29:46,1.944s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 14:29:46,2017-11-08 14:29:47,1.083s,PASSED
