Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-08 14:29:22,2017-11-08 14:29:30,7.678s,FAILED
,,,,,,
Test Cases/LoginAcme,Chrome 61.0.3163.100,,2017-11-08 14:29:22,2017-11-08 14:29:29,7.058s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 14:29:23,2017-11-08 14:29:27,3.941s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-08 14:29:27,2017-11-08 14:29:27,0.714s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:29:27,2017-11-08 14:29:28,0.296s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 14:29:28,2017-11-08 14:29:28,0.247s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 14:29:28,2017-11-08 14:29:28,0.152s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 14:29:28,2017-11-08 14:29:28,0.244s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 14:29:28,2017-11-08 14:29:29,1.006s,PASSED
,,,,,,
Test Cases/Logout,Chrome 61.0.3163.100,,2017-11-08 14:29:29,2017-11-08 14:29:30,0.230s,FAILED
click,Chrome 61.0.3163.100,,2017-11-08 14:29:30,2017-11-08 14:29:30,0.012s,FAILED
