Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogoutPhp,Chrome 61.0.3163.100,login logout php,2017-11-08 15:14:42,2017-11-08 15:15:08,25.324s,PASSED
,,,,,,
Test Cases/Phpadminlogin,Chrome 61.0.3163.100,php demo travel admin login,2017-11-08 15:14:43,2017-11-08 15:15:00,16.829s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 15:14:45,2017-11-08 15:14:56,11.054s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-08 15:14:56,2017-11-08 15:14:58,1.666s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:14:58,2017-11-08 15:14:59,1.189s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:14:59,2017-11-08 15:15:00,0.792s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:15:00,2017-11-08 15:15:00,0.163s,PASSED
,,,,,,
Test Cases/PhpLogout,Chrome 61.0.3163.100,,2017-11-08 15:15:00,2017-11-08 15:15:08,7.692s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-11-08 15:15:00,2017-11-08 15:15:04,3.366s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:15:04,2017-11-08 15:15:04,0.441s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:15:04,2017-11-08 15:15:06,1.586s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 15:15:06,2017-11-08 15:15:08,1.924s,PASSED
