Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteAddtoBasket,Chrome 61.0.3163.100,,2017-11-16 13:23:13,2017-11-16 13:24:33,1m - 19.902s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/CancelPurchase",Chrome 61.0.3163.100,,2017-11-16 13:23:14,2017-11-16 13:23:29,15.588s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:23:14,2017-11-16 13:23:19,5.203s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-16 13:23:19,2017-11-16 13:23:21,1.141s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:23:21,2017-11-16 13:23:21,0.838s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-16 13:23:21,2017-11-16 13:23:26,5.024s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:23:26,2017-11-16 13:23:27,0.260s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:23:27,2017-11-16 13:23:27,0.259s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:23:27,2017-11-16 13:23:27,0.218s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:23:27,2017-11-16 13:23:27,0.195s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:23:27,2017-11-16 13:23:27,0.126s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 13:23:27,2017-11-16 13:23:28,0.030s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 13:23:28,2017-11-16 13:23:28,0.323s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 13:23:28,2017-11-16 13:23:28,0.159s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:23:28,2017-11-16 13:23:28,0.214s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:23:28,2017-11-16 13:23:28,0.107s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 13:23:28,2017-11-16 13:23:28,0.015s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-11-16 13:23:28,2017-11-16 13:23:29,0.605s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 13:23:29,2017-11-16 13:23:29,0.377s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/CancelPurchaseforTestSuite",Chrome 61.0.3163.100,"continuing action after purchising one book, cancel confirmation of purchase another book",2017-11-16 13:23:29,2017-11-16 13:24:00,30.953s,FAILED
click,Chrome 61.0.3163.100,,2017-11-16 13:23:30,2017-11-16 13:24:00,30.755s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/NumberOfOneItemAddedtoTheBasket",Chrome 61.0.3163.100,,2017-11-16 13:24:00,2017-11-16 13:24:11,10.168s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:24:00,2017-11-16 13:24:06,5.487s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-16 13:24:06,2017-11-16 13:24:07,1.125s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:24:07,2017-11-16 13:24:08,0.743s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:24:08,2017-11-16 13:24:08,0.267s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:24:08,2017-11-16 13:24:08,0.279s,PASSED
