Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-16 11:38:51,2017-11-16 11:39:04,12.982s,PASSED
,,,,,,
Test Cases/LoginEditLogout/LoginAcme,Chrome 61.0.3163.100,,2017-11-16 11:38:52,2017-11-16 11:39:02,9.492s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:38:53,2017-11-16 11:38:59,5.451s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:38:59,2017-11-16 11:39:00,1.195s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:39:00,2017-11-16 11:39:00,0.491s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:39:00,2017-11-16 11:39:01,0.581s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:39:01,2017-11-16 11:39:01,0.433s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:39:01,2017-11-16 11:39:02,0.359s,PASSED
,,,,,,
Test Cases/LoginEditLogout/Logout,Chrome 61.0.3163.100,,2017-11-16 11:39:02,2017-11-16 11:39:04,2.776s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:39:02,2017-11-16 11:39:02,0.338s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:39:02,2017-11-16 11:39:03,0.404s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 11:39:03,2017-11-16 11:39:03,0.216s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-16 11:39:03,2017-11-16 11:39:04,1.469s,PASSED
