Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
browseBooksVariousRequests,Chrome 61.0.3163.100,,2017-11-16 11:54:38,2017-11-16 11:55:14,35.600s,FAILED
,,,,,,
Test Cases/Browse Book/BrowseBookbyAuthor,Chrome 61.0.3163.100,,2017-11-16 11:54:38,2017-11-16 11:54:46,7.061s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:54:39,2017-11-16 11:54:42,2.730s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-16 11:54:42,2017-11-16 11:54:43,1.176s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:54:43,2017-11-16 11:54:44,0.771s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:54:44,2017-11-16 11:54:44,0.366s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:54:44,2017-11-16 11:54:44,0.242s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:54:44,2017-11-16 11:54:44,0.231s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 11:54:44,2017-11-16 11:54:45,0.112s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-16 11:54:45,2017-11-16 11:54:46,0.959s,PASSED
,,,,,,
Test Cases/Browse Book/BrowseBookByISBN,Chrome 61.0.3163.100,,2017-11-16 11:54:46,2017-11-16 11:54:50,4.585s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:54:46,2017-11-16 11:54:48,1.982s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:54:48,2017-11-16 11:54:48,0.697s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:54:48,2017-11-16 11:54:49,0.288s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:54:49,2017-11-16 11:54:49,0.206s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:54:49,2017-11-16 11:54:49,0.199s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-11-16 11:54:49,2017-11-16 11:54:49,0.059s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-16 11:54:49,2017-11-16 11:54:50,0.938s,PASSED
,,,,,,
Test Cases/Browse Book/BrowseBookByPublisher,Chrome 61.0.3163.100,,2017-11-16 11:54:50,2017-11-16 11:54:55,4.811s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:54:50,2017-11-16 11:54:52,1.936s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:54:52,2017-11-16 11:54:53,0.724s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:54:53,2017-11-16 11:54:53,0.296s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:54:53,2017-11-16 11:54:54,0.275s,PASSED
