Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginEditForm,Chrome 61.0.3163.100,Login and edit profile,2017-11-16 11:38:52,2017-11-16 11:39:35,42.676s,FAILED
,,,,,,
Test Cases/LoginEditLogout/EditProfile,Chrome 61.0.3163.100,edit user profile,2017-11-16 11:38:53,2017-11-16 11:39:34,40.951s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:38:55,2017-11-16 11:38:59,4.228s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:38:59,2017-11-16 11:39:00,0.913s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:39:00,2017-11-16 11:39:00,0.444s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:39:00,2017-11-16 11:39:01,0.503s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:39:01,2017-11-16 11:39:01,0.420s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:39:01,2017-11-16 11:39:02,0.342s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:39:02,2017-11-16 11:39:02,0.508s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:39:02,2017-11-16 11:39:02,0.250s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:39:02,2017-11-16 11:39:03,0.487s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:39:03,2017-11-16 11:39:03,0.390s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:39:03,2017-11-16 11:39:34,31.032s,FAILED
