Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-09 10:31:00,2017-11-09 10:31:06,6.582s,PASSED
,,,,,,
Test Cases/LoginAcme,Chrome 61.0.3163.100,,2017-11-09 10:31:00,2017-11-09 10:31:05,4.678s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-09 10:31:00,2017-11-09 10:31:03,2.728s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-09 10:31:03,2017-11-09 10:31:04,0.680s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:31:04,2017-11-09 10:31:04,0.328s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-09 10:31:04,2017-11-09 10:31:04,0.183s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-09 10:31:04,2017-11-09 10:31:04,0.128s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:31:04,2017-11-09 10:31:05,0.191s,PASSED
,,,,,,
Test Cases/Logout,Chrome 61.0.3163.100,,2017-11-09 10:31:05,2017-11-09 10:31:06,1.559s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:31:05,2017-11-09 10:31:05,0.194s,PASSED
click,Chrome 61.0.3163.100,,2017-11-09 10:31:05,2017-11-09 10:31:05,0.221s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-09 10:31:05,2017-11-09 10:31:05,0.075s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-09 10:31:05,2017-11-09 10:31:06,0.898s,PASSED
