Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogoutPhp,Chrome 61.0.3163.100,login logout php,2017-11-08 15:02:04,2017-11-08 15:02:20,15.210s,PASSED
,,,,,,
Test Cases/Phpadminlogin,Chrome 61.0.3163.100,php demo travel admin login,2017-11-08 15:02:05,2017-11-08 15:02:13,8.381s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 15:02:05,2017-11-08 15:02:11,6.010s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-08 15:02:11,2017-11-08 15:02:12,1.155s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:02:12,2017-11-08 15:02:13,0.401s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:02:13,2017-11-08 15:02:13,0.170s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:02:13,2017-11-08 15:02:13,0.133s,PASSED
,,,,,,
Test Cases/PhpLogout,Chrome 61.0.3163.100,,2017-11-08 15:02:13,2017-11-08 15:02:20,6.468s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-11-08 15:02:13,2017-11-08 15:02:17,3.346s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:02:17,2017-11-08 15:02:17,0.144s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:02:17,2017-11-08 15:02:18,1.403s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 15:02:18,2017-11-08 15:02:20,1.266s,PASSED
